Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Amit,NFCDCH-LX-KFF8T5FE31QQ7PEMH5CQ4H2N96328A,Netflix Chrome Linux (Cadmium) HTML 5,2023-08-24T09:30:49.668,2023-10-10T12:03:30.350,2023-08-24T09:30:49.668,2023-10-10T12:03:30.350,2023-08-24T09:30:49.668,2023-10-10T12:03:30.350,2023-08-24T09:30:49.668,2023-10-10T12:03:30.350,1970-01-01T00:00:00.000
Amit,NFCDCH-LX-KDLFQ1T4VYV3TVN5959AJ24856G99U,Netflix Chrome Linux (Cadmium) HTML 5,2023-08-02T02:10:19.468,2023-08-24T09:12:45.833,2023-08-02T02:10:19.468,2023-08-24T08:49:04.787,2023-08-02T02:10:19.468,2023-08-24T09:12:45.833,2023-08-02T02:10:19.468,2023-08-24T08:49:04.787,1970-01-01T00:00:00.000
Amit,NFANDROID2-PRV-TCL2018UHDANDROIDTV-TCL==BEYONDTV-11768-AB27752CFE6E0E3DA200CCF9AC04CC6FD170C362E4471D7A446AFFD79E322DCC,TCL TV 2018 UHD Android TV Smart TV,2021-08-20T09:07:42.008,2023-08-13T17:04:33.311,2022-04-06T13:09:21.160,2023-08-13T17:04:19.020,2021-08-20T09:07:42.008,2023-08-13T17:04:33.311,2022-04-06T13:09:21.160,2023-08-13T17:04:19.020,2022-07-12T19:40:38.880
Amit,NFCDCH-LX-K25Q4R0GDR5XXK9XMAFW1F80HXRVNR,Netflix Chrome Linux (Cadmium) HTML 5,2023-03-28T13:23:19.705,2023-07-23T07:51:28.676,2023-03-28T13:23:19.705,2023-07-23T07:51:28.676,2023-03-28T13:23:19.705,2023-07-23T07:51:28.676,2023-03-28T13:23:19.705,2023-07-23T07:51:28.676,1970-01-01T00:00:00.000
Amit,NFAPPL-02-IPHONE12=1-E5763DFD5B0B62FEC21B0099F4B88DDFE3EDC8B45BF9CB22CC589D2FEA2B297B,Apple iPhone 11,2022-06-13T18:05:42.448,2023-06-25T18:50:19.507,2022-06-13T18:05:42.448,2023-06-08T17:39:59.815,2022-06-13T18:05:42.448,2023-06-25T18:50:19.507,2022-06-13T18:05:42.448,2023-06-08T17:39:59.815,2022-07-12T19:40:38.958
Amit,NFCDCH-02-HURLQ3J01W98HH6RW966X2PCMNKTTL,Chrome PC (Cadmium),2022-05-28T18:19:24.187,2023-05-09T08:39:24.207,2022-05-28T18:19:24.187,2023-05-09T08:37:59.705,2022-05-28T18:19:24.187,2023-05-09T08:39:24.207,2022-05-28T18:19:24.187,2023-05-09T08:37:59.705,2022-07-12T19:40:39.008
Amit,NFCDCH-LX-J9X4M4KCP3WFRJ23XMRN11K5L0EEUX,Netflix Chrome Linux (Cadmium) HTML 5,2022-06-06T23:49:58.790,2023-03-27T13:16:05.848,2022-06-06T23:49:58.790,2023-03-27T13:16:05.848,2022-06-06T23:49:58.790,2023-03-27T13:16:05.848,2022-06-06T23:49:58.790,2023-03-27T13:16:05.848,2022-07-12T19:40:39.200
Amit,NFANDROID1-PRV-P-XIAOMM2103K19I-21111-C07D687728E514FB409A470F4552F50ABC6CD118492C393CBC9239179CC213DE,DefaultWidevineAndroidPhone,2022-10-08T17:41:25.164,2023-03-17T19:28:18.796,2022-10-08T17:41:25.164,2023-03-17T19:28:18.796,2022-10-08T17:41:25.164,2023-03-17T19:28:18.796,2022-10-08T17:41:25.164,2023-03-17T19:28:18.796,1970-01-01T00:00:00.000
Amit,NFANDROID1-PRV-P-XIAOMM2103K19I-21111-0CDC4DFA4027F9692AAB743AB5F334361B4E203D6219E705B9889AF008E46709E,DefaultWidevineAndroidPhone,2022-08-27T17:43:21.368,2022-10-07T18:19:01.257,2022-08-27T17:43:21.368,2022-10-07T18:19:01.257,2022-08-27T17:43:21.368,2022-10-07T18:19:01.257,2022-08-27T17:43:21.368,2022-10-07T18:19:01.257,1970-01-01T00:00:00.000
Amit,NFANDROID1-PRV-P-SAMSUSM-G781B-19970-00843C5BFC8D27EDA80423F2FDEA8B2CFBB2B8C50DF2134F4AAE4F16432B43CED,DefaultWidevineAndroidPhone,2022-09-30T19:27:17.496,2022-10-06T20:16:23.084,2022-09-30T19:27:17.496,2022-10-06T20:16:23.084,2022-09-30T19:27:17.496,2022-10-06T20:16:23.084,2022-09-30T19:27:17.496,2022-10-06T20:16:23.084,1970-01-01T00:00:00.000
