Devices,Date,Esn,Part Of Netflix Household
DefaultWidevineL3Phone,2024-05-14 00:00:00,NFANDROID1-PRV-P-L3-SAMSUSM-A125F-22589-BE6805174ECC178FB610D16D0D2ED8B854740A5D3C3591A312A8479A43936D5B,Yes
DefaultWidevinePhone,2024-05-11 00:00:00,NFANDROID1-PRV-P-SAMSUSM-G781B-19970-888994401474689E320ED85369E1AC3A06EF9F45B9A5A342A87EA65DCE57DDBE,No
TCL 2018 UHD Android TV,2024-05-13 00:00:00,NFANDROID2-PRV-TCL2018UHDANDROIDTV-TCL==BEYONDTV-11768-1140505F86EFDF349906FF7B5E82FD5592A7B1F4450524CB5CF04E26D664AB78,Yes
Chrome PC (Cadmium),2024-05-10 00:00:00,NFCDCH-02-GAV026WP48P2CGXV4A8KKUCURXCFD5,Yes
Chrome PC (Cadmium),2024-05-07 00:00:00,NFCDCH-02-K7C55M72G3LN4HVQ5F6Q42J99D6308,No
Chrome PC (Cadmium),2024-05-12 00:00:00,NFCDCH-02-L2Z8RCXDGLGUK2RCL453XGXU010Y91,Yes
Chrome Linux (Cadmium),2024-03-31 00:00:00,NFCDCH-LX-KKN4X996H4NL12KUQVQHKK3LGLXUC5,Yes
Chrome Linux (Cadmium),2024-05-14 00:00:00,NFCDCH-LX-L0Q7HY4C7E8EJTE1KLQFPVPCKDFE1F,Yes
