Subscription Opened Ts,Is Free Trial At Signup,Subscription Closed Ts,Is Customer Initiated Cancel,Signup Plan Category,Signup Max Concurrent Streams,Signup Max Streaming Quality,Plan Change Date,Plan Change Old Category,Plan Change Old Max Concurrent Streams,Plan Change Old Max Streaming Quality,Plan Change New Category,Plan Change New Max Concurrent Streams,Plan Change New Max Streaming Quality,Cancellation Reason
2020-03-16 08:23:33.998+0000,0,,,STREAMING ONLY,2,HD,20200724,STREAMING ONLY,2,HD,STREAMING ONLY,4,UHD,
2020-03-16 08:23:33.998+0000,0,,,STREAMING ONLY,2,HD,20211213,STREAMING ONLY,2,HD,STREAMING ONLY,4,UHD,
2020-03-16 08:23:33.998+0000,0,,,STREAMING ONLY,2,HD,20230824,STREAMING ONLY,4,UHD,STREAMING ONLY,2,HD,
2020-03-16 08:23:33.998+0000,0,,,STREAMING ONLY,2,HD,20220422,STREAMING ONLY,4,UHD,STREAMING ONLY,2,HD,
2020-03-16 08:23:33.998+0000,0,,,STREAMING ONLY,2,HD,20230320,STREAMING ONLY,2,HD,STREAMING ONLY,4,UHD,
2020-03-16 08:23:33.998+0000,0,,,STREAMING ONLY,2,HD,20201015,STREAMING ONLY,4,UHD,STREAMING ONLY,2,HD,
