Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Arnab,Laputa Castle in the Sky_hook_03_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 18:21:23,IN,"[{""eventType"":""start"",""sessionOffsetMs"":35,""mediaOffsetMs"":8},{""eventType"":""playing"",""sessionOffsetMs"":591,""mediaOffsetMs"":8},{""eventType"":""paused"",""sessionOffsetMs"":2356,""mediaOffsetMs"":1559},{""eventType"":""stopped"",""sessionOffsetMs"":57912,""mediaOffsetMs"":1734}]"
Arnab,One Piece Film: Strong World,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 17:45:47,IN,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":4481000},{""eventType"":""playing"",""sessionOffsetMs"":3997,""mediaOffsetMs"":4481000},{""eventType"":""stopped"",""sessionOffsetMs"":2135974,""mediaOffsetMs"":6612522}]"
Arnab,One Piece Film: Strong World_hook_01_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 17:45:43,IN,"[{""eventType"":""start"",""sessionOffsetMs"":38,""mediaOffsetMs"":20},{""eventType"":""playing"",""sessionOffsetMs"":1637,""mediaOffsetMs"":20},{""eventType"":""stopped"",""sessionOffsetMs"":1764,""mediaOffsetMs"":20}]"
Arnab,Spider-Man: Far from Home_hook_04_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 17:44:39,IN,"[{""eventType"":""start"",""sessionOffsetMs"":29,""mediaOffsetMs"":8},{""eventType"":""playing"",""sessionOffsetMs"":534,""mediaOffsetMs"":8},{""eventType"":""paused"",""sessionOffsetMs"":1692,""mediaOffsetMs"":1097},{""eventType"":""stopped"",""sessionOffsetMs"":65390,""mediaOffsetMs"":1128}]"
Arnab,The Office (U.S.): Season 1 - CLM 1,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 12:11:56,IN,"[{""eventType"":""start"",""sessionOffsetMs"":8,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1529,""mediaOffsetMs"":null}]"
Arnab,"The Office (U.S.): Season 9: ""Paper Airplane""",Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 12:11:55,IN,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":572,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":712532,""mediaOffsetMs"":711426},{""eventType"":""playing"",""sessionOffsetMs"":829210,""mediaOffsetMs"":711541},{""eventType"":""stopped"",""sessionOffsetMs"":1388250,""mediaOffsetMs"":1270581}]"
Arnab,Spider-Man: Homecoming_hook_primary_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 12:11:51,IN,"[{""eventType"":""start"",""sessionOffsetMs"":19,""mediaOffsetMs"":7},{""eventType"":""playing"",""sessionOffsetMs"":1422,""mediaOffsetMs"":7},{""eventType"":""paused"",""sessionOffsetMs"":2237,""mediaOffsetMs"":713},{""eventType"":""stopped"",""sessionOffsetMs"":3755,""mediaOffsetMs"":778}]"
Arnab,"The Office (U.S.): Season 9: ""Stairmageddon""",Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 10:36:59,IN,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2573,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":79447,""mediaOffsetMs"":76624},{""eventType"":""playing"",""sessionOffsetMs"":531773,""mediaOffsetMs"":76741},{""eventType"":""stopped"",""sessionOffsetMs"":1733899,""mediaOffsetMs"":1278867}]"
Arnab,"The Office (U.S.): Season 9: ""Promos""",Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 10:36:53,IN,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":827,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3825,""mediaOffsetMs"":2848},{""eventType"":""stopped"",""sessionOffsetMs"":3851,""mediaOffsetMs"":2854}]"
Arnab,The Office (U.S.): Season 1 - CLM 1,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 10:36:51,IN,"[{""eventType"":""start"",""sessionOffsetMs"":4,""mediaOffsetMs"":5},{""eventType"":""playing"",""sessionOffsetMs"":695,""mediaOffsetMs"":5},{""eventType"":""stopped"",""sessionOffsetMs"":1546,""mediaOffsetMs"":746}]"
Arnab,Dexter: Season 1_hook_primary_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 10:36:46,IN,"[{""eventType"":""start"",""sessionOffsetMs"":13,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":408,""mediaOffsetMs"":null}]"
Arnab,Season 1 Teaser: Lookism,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 10:36:40,IN,"[{""eventType"":""start"",""sessionOffsetMs"":29,""mediaOffsetMs"":13},{""eventType"":""playing"",""sessionOffsetMs"":5687,""mediaOffsetMs"":13},{""eventType"":""paused"",""sessionOffsetMs"":8263,""mediaOffsetMs"":2350},{""eventType"":""stopped"",""sessionOffsetMs"":16988,""mediaOffsetMs"":2549}]"
Arnab,"The Office (U.S.): Season 9: ""Promos""",Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 09:36:13,IN,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":714000},{""eventType"":""playing"",""sessionOffsetMs"":997,""mediaOffsetMs"":714000},{""eventType"":""paused"",""sessionOffsetMs"":4843,""mediaOffsetMs"":717000},{""eventType"":""reposition"",""sessionOffsetMs"":4844,""mediaOffsetMs"":727039},{""eventType"":""playing"",""sessionOffsetMs"":5170,""mediaOffsetMs"":727039},{""eventType"":""paused"",""sessionOffsetMs"":6044,""mediaOffsetMs"":728000},{""eventType"":""reposition"",""sessionOffsetMs"":6045,""mediaOffsetMs"":737168},{""eventType"":""playing"",""sessionOffsetMs"":6346,""mediaOffsetMs"":737168},{""eventType"":""paused"",""sessionOffsetMs"":7820,""mediaOffsetMs"":738000},{""eventType"":""reposition"",""sessionOffsetMs"":7821,""mediaOffsetMs"":747796},{""eventType"":""playing"",""sessionOffsetMs"":8011,""mediaOffsetMs"":747796},{""eventType"":""paused"",""sessionOffsetMs"":9189,""mediaOffsetMs"":749000},{""eventType"":""reposition"",""sessionOffsetMs"":9190,""mediaOffsetMs"":758165},{""eventType"":""playing"",""sessionOffsetMs"":9442,""mediaOffsetMs"":758165},{""eventType"":""paused"",""sessionOffsetMs"":11325,""mediaOffsetMs"":760000},{""eventType"":""reposition"",""sessionOffsetMs"":11326,""mediaOffsetMs"":769595},{""eventType"":""playing"",""sessionOffsetMs"":11427,""mediaOffsetMs"":769595},{""eventType"":""paused"",""sessionOffsetMs"":67023,""mediaOffsetMs"":824956},{""eventType"":""playing"",""sessionOffsetMs"":68319,""mediaOffsetMs"":825042},{""eventType"":""paused"",""sessionOffsetMs"":423700,""mediaOffsetMs"":1180215},{""eventType"":""playing"",""sessionOffsetMs"":512819,""mediaOffsetMs"":1180416},{""eventType"":""stopped"",""sessionOffsetMs"":613587,""mediaOffsetMs"":1281184}]"
Arnab,The Office (U.S.): Season 1 - CLM 1,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 09:36:12,IN,"[{""eventType"":""start"",""sessionOffsetMs"":17,""mediaOffsetMs"":3},{""eventType"":""playing"",""sessionOffsetMs"":1086,""mediaOffsetMs"":3},{""eventType"":""stopped"",""sessionOffsetMs"":1508,""mediaOffsetMs"":266}]"
Arnab,"The Office (U.S.): Season 9: ""Promos""",Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 05:54:48,IN,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":10646,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":595735,""mediaOffsetMs"":584450},{""eventType"":""playing"",""sessionOffsetMs"":664876,""mediaOffsetMs"":584668},{""eventType"":""stopped"",""sessionOffsetMs"":793787,""mediaOffsetMs"":713579}]"
Arnab,Spider-Man 2_hook_05_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 05:54:43,IN,"[{""eventType"":""start"",""sessionOffsetMs"":180,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":90593,""mediaOffsetMs"":0}]"
Arnab,The Office (U.S.): Season 1_hook_primary_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 05:54:40,IN,"[{""eventType"":""start"",""sessionOffsetMs"":11,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1220,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":2100,""mediaOffsetMs"":499}]"
