Profile Name,Show,Has Watched,Is Interested,Event Date
Andy,Narcos,,,2020-03-16
Andy,Little Things,,,2020-03-16
Andy,Money Heist,,,2020-03-16
Amit,Narcos: Mexico,,,2020-03-16
Amit,Little Things,,,2020-03-16
Amit,Money Heist,,,2020-03-16
Subhrojeet,Narcos,,,2020-03-16
Subhrojeet,Breaking Bad,,,2020-03-16
Subhrojeet,Narcos: Mexico,,,2020-03-16
