Contact Start Utc Ts,Contact End Utc Ts,Negative Survey Response Count,Survey Response Count,Language,End State,Cancel Reason,Cancel Reason Explained
2020-07-24 18:18:19,2020-07-24 18:24:20,0,0,INDIA_EN,CustomerNextSteps,,
2020-07-11 18:33:57,2020-07-11 18:54:25,0,1,INDIA_EN,NoNextSteps,,
2020-07-11 17:35:17,2020-07-11 17:46:12,0,0,INDIA_EN,NoNextSteps,,
