Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Arnab,www,playback,/watch/70136120?trackId=14170286&tctx=1%2C0%2C3a541782-fe9f-4d73-8b95-75abb09bf26f-294587690%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-D4FDF2B042_p_1715688708775%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715688708775%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,/watch/70286864?trackId=14170286,2024-05-14 12:11:54
Arnab,www,profilesGate,,/browse,2024-05-14 12:11:50
Arnab,www,browseTitles,,/browse,2024-05-14 12:11:50
Arnab,www,playback,/watch/70136120?trackId=14170286&tctx=1%2C0%2C01dfea68-61b0-4f64-a773-a87cdec5964e-82476374%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-B9EBAD3DC9_p_1715682995794%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715682993975%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,/watch/70286862?trackId=14170286,2024-05-14 10:36:57
Arnab,www,playback,/watch/70286862?trackId=14170286,/watch/70286863?trackId=14170286,2024-05-14 10:36:57
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=1%2C0%2C01dfea68-61b0-4f64-a773-a87cdec5964e-82476374%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-B9EBAD3DC9_p_1715682995794%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715682993975%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-14 10:36:53
Arnab,www,playback,/watch/70136120?trackId=14170286&tctx=1%2C0%2C01dfea68-61b0-4f64-a773-a87cdec5964e-82476374%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-B9EBAD3DC9_p_1715682995794%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715682993975%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,/watch/70286862?trackId=14170286,2024-05-14 10:36:53
Arnab,www,browseTitles,,/browse,2024-05-14 10:36:52
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=1%2C0%2C01dfea68-61b0-4f64-a773-a87cdec5964e-82476374%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-B9EBAD3DC9_p_1715682995794%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715682993975%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-14 10:36:52
Arnab,www,profilesGate,,/browse,2024-05-14 10:36:36
